Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.1.9-11,,,,,,יַּבָּשָׁה,הָ,,HTd/Ncfsa,H9009=ה=the/H3004=יַבָּשָׁה=dry land
Gen.1.9-12,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.9-13,,,,,,׃,כֵן,,HD,H3651c=כֵּן=so/H9016=׃=verseEnd
Gen.1.10-01,,,,,,יִּקְרָא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7121=קָרָא=to call_§2_call_by|name
Gen.1.10-02,,,,,,׀,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1/H9015=׀=separate
Gen.1.10-03,,,,,,יַּבָּשָׁה,לַ,,HRd/Ncfsa,H9005=ל=to/H3004=יַבָּשָׁה=dry land
Gen.1.10-04,,,,,,,ארֶץ,,HNcbsa,H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.10-05,,,,,מִקְוֵה,לְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9005=ל=to/H4723c=מִקְוֶה=collection
Gen.1.10-06,,,,,,מַּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.10-07,,,,,,,קָרָא,,HVqp3ms,H7121=קָרָא=to call_§2_call_by|name
Gen.1.10-08,,,,,,,יַמּים,,HNcmpa,H3220=יָם=sea_§1_sea
Gen.1.10-09,,,,,,יַּרְא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7200=רָאָה=to see_§1_see|show
Gen.1.10-10,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.10-11,,,,,,־,כִּי,,HTc,H3588a=כִּי=for/H9014=־=link
Gen.1.10-12,,,,,,׃,טוֹב,,HVqp3ms,H2896a=טוֹב=pleasant/H9016=׃=verseEnd
Gen.1.11-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.11-02,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.11-03,,,,,,,תַּדְשֵׁא,,HVhi3fs,H1876=דָּשָׁא=to sprout
Gen.1.11-04,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.11-05,,,,,,,דּשֶׁא,,HNcbsa,H1877=דֶּ֫שֶׁא=grass
